# Adversary Name	KEY	SIZE	MONSTERCLASS	TYPE	EVASION	HP	DESC	ABILITY	SOURCEPAGE
# --- Tier 0 / Minions & Vermin ---
Giant Rat	KEY:Giant Rat (Adversary)	SIZE:S	MONSTERCLASS:Adversary:1	TYPE:Adversary.Tier0.Minion	EVASION:11	HP:1	DESC:Tier 0 Minion | Difficulty: 8 | Thresholds: 2/4	ABILITY:Special Ability|AUTOMATIC|Swarm Tactics ~ Adversary	SOURCEPAGE:p.90
Skeleton Minion	KEY:Skeleton Minion (Adversary)	SIZE:M	MONSTERCLASS:Adversary:1	TYPE:Adversary.Tier0.Minion	EVASION:9	HP:1	DESC:Tier 0 Minion | Difficulty: 9 | Thresholds: 3/6	ABILITY:Special Ability|AUTOMATIC|Brittle Bones ~ Adversary	SOURCEPAGE:p.90
Goblin Sneak	KEY:Goblin Sneak (Adversary)	SIZE:S	MONSTERCLASS:Adversary:1	TYPE:Adversary.Tier0.Minion	EVASION:12	HP:1	DESC:Tier 0 Minion | Difficulty: 9 | Thresholds: 3/6	ABILITY:Special Ability|AUTOMATIC|Skitter ~ Adversary	SOURCEPAGE:p.90
Cult Initiate	KEY:Cult Initiate (Adversary)	SIZE:M	MONSTERCLASS:Adversary:1	TYPE:Adversary.Tier0.Minion	EVASION:10	HP:1	DESC:Tier 0 Minion | Difficulty: 9 | Thresholds: 3/6	ABILITY:Special Ability|AUTOMATIC|Fanatical Devotion ~ Adversary	SOURCEPAGE:p.91

# --- Tier 1 (Levels 1–4) ---
Goblin Scrapper	KEY:Goblin Scrapper (Adversary)	SIZE:S	MONSTERCLASS:Adversary:1	TYPE:Adversary.Tier1.Standard	EVASION:11	HP:3	DESC:Tier 1 Standard | Difficulty: 10 | Thresholds: 4/8	ABILITY:Special Ability|AUTOMATIC|Nimble Escape ~ Adversary	SOURCEPAGE:p.92
Forest Wolf	KEY:Forest Wolf (Adversary)	SIZE:M	MONSTERCLASS:Adversary:1	TYPE:Adversary.Tier1.Skirmisher	EVASION:12	HP:4	DESC:Tier 1 Skirmisher | Difficulty: 12 | Thresholds: 6/12	ABILITY:Special Ability|AUTOMATIC|Pack Tactics ~ Adversary|Hamstring ~ Adversary	SOURCEPAGE:p.94
Bandit Highwayman	KEY:Bandit Highwayman (Adversary)	SIZE:M	MONSTERCLASS:Adversary:1	TYPE:Adversary.Tier1.Skirmisher	EVASION:11	HP:4	DESC:Tier 1 Skirmisher | Difficulty: 11 | Thresholds: 5/10	ABILITY:Special Ability|AUTOMATIC|Ambush Strike ~ Adversary	SOURCEPAGE:p.93
Skeleton Warrior	KEY:Skeleton Warrior (Adversary)	SIZE:M	MONSTERCLASS:Adversary:1	TYPE:Adversary.Tier1.Standard	EVASION:10	HP:4	DESC:Tier 1 Standard | Difficulty: 11 | Thresholds: 5/10	ABILITY:Special Ability|AUTOMATIC|Brittle Bones ~ Adversary|Relentless Advance ~ Adversary	SOURCEPAGE:p.95
