# Ability Name	CATEGORY	TYPE	DESC	SOURCEPAGE
# --- Class Features & Hope Moves ---
Marked for Death	CATEGORY:Special Ability	TYPE:ClassFeature.Assassin	DESC:On a successful weapon attack, mark a Stress to add d4s equal to tier to damage against this target.	SOURCEPAGE:p.9
Deadly Determination	CATEGORY:Special Ability	TYPE:HopeFeature.Assassin	DESC:Spend 3 Hope to clear 2 Stress.	SOURCEPAGE:p.9
Rally	CATEGORY:Special Ability	TYPE:ClassFeature.Bard	DESC:Once per session, rally party to grant everyone a Rally Die (d6, increases to d8 at level 5).	SOURCEPAGE:p.10
Unstoppable	CATEGORY:Special Ability	TYPE:ClassFeature.Guardian	DESC:Once per long rest, gain an Unstoppable Die to reduce physical damage severity and add bonus damage.	SOURCEPAGE:p.19
Ranger's Focus	CATEGORY:Special Ability	TYPE:ClassFeature.Ranger	DESC:Spend a Hope on an attack to designate a Focus target, tracking direction and dealing Stress.	SOURCEPAGE:p.20
Sneak Attack	CATEGORY:Special Ability	TYPE:ClassFeature.Rogue	DESC:On a successful attack while Cloaked or with an ally in Melee, add d6s equal to tier to damage.	SOURCEPAGE:p.22

# --- Subclass Foundations ---
First Strike	CATEGORY:Special Ability	TYPE:SubclassFoundation.ExecutionersGuild	DESC:The first time in a scene you succeed on an attack, deal double damage.	SOURCEPAGE:p.9
Toxic Concoctions	CATEGORY:Special Ability	TYPE:SubclassFoundation.PoisonersGuild	DESC:Mark a Stress for 1d4+1 poison tokens to afflict targets with Ghost Petal, Grave Spore, or Leech Weed.	SOURCEPAGE:p.10
Gifted Performer	CATEGORY:Special Ability	TYPE:SubclassFoundation.Troubadour	DESC:Perform Relaxing Song, Epic Song, or Heartbreaking Song once each per long rest.	SOURCEPAGE:p.11
Spirit Weapon	CATEGORY:Special Ability	TYPE:SubclassFoundation.DivineWielder	DESC:Equipped Melee/Very Close weapon flies up to Close range and returns. Mark Stress to target an additional creature.	SOURCEPAGE:p.24
