# Class Name	KEY	SPELLCAST	EVASION	HP	SOURCEPAGE
Assassin	KEY:Assassin (Daggerheart)	SPELLCAST:Agility	EVASION:12	HP:5	SOURCEPAGE:p.8
Bard	KEY:Bard (Daggerheart)	SPELLCAST:Presence	EVASION:10	HP:5	SOURCEPAGE:p.10
Brawler	KEY:Brawler (Daggerheart)	SPELLCAST:Instinct	EVASION:10	HP:6	SOURCEPAGE:p.11
Druid	KEY:Druid (Daggerheart)	SPELLCAST:Instinct	EVASION:10	HP:6	SOURCEPAGE:p.14
Guardian	KEY:Guardian (Daggerheart)	SPELLCAST:Strength	EVASION:9	HP:7	SOURCEPAGE:p.19
Ranger	KEY:Ranger (Daggerheart)	SPELLCAST:Agility	EVASION:12	HP:6	SOURCEPAGE:p.20
Rogue	KEY:Rogue (Daggerheart)	SPELLCAST:Finesse	EVASION:12	HP:6	SOURCEPAGE:p.22
Seraph	KEY:Seraph (Daggerheart)	SPELLCAST:Strength	EVASION:9	HP:7	SOURCEPAGE:p.24
Sorcerer	KEY:Sorcerer (Daggerheart)	SPELLCAST:Instinct	EVASION:10	HP:6	SOURCEPAGE:p.25
Warlock	KEY:Warlock (Daggerheart)	SPELLCAST:Presence	EVASION:11	HP:5	SOURCEPAGE:p.26
Warrior	KEY:Warrior (Daggerheart)	SPELLCAST:Strength	EVASION:11	HP:6	SOURCEPAGE:p.28
Witch	KEY:Witch (Daggerheart)	SPELLCAST:Knowledge	EVASION:10	HP:6	SOURCEPAGE:p.29
Wizard	KEY:Wizard (Daggerheart)	SPELLCAST:Knowledge	EVASION:11	HP:5	SOURCEPAGE:p.30
